status,status_fail,response_time_ms,http_status_code,hour,day,is_weekend,rolling_z_score,rt_percentile,rt_rolling_std,fail_diff,rt_diff,rt_drift,is_monolith,service_median_rt,rt_relative
1,0,333.0,200,3,4,0,1.4762239787219116,0.4553249097472924,44.166729559703526,0.0,96.0,-23.899999999999977,1,358.0,0.9301675717830288
1,0,231.0,200,3,4,0,-0.9668017930190034,0.2075812274368231,40.752914006239955,0.0,-102.0,-16.350000000000023,1,358.0,0.6452513786242632
1,0,317.0,200,3,4,0,0.8276528192855477,0.41425992779783394,45.91296113299587,0.0,86.0,-11.75,1,358.0,0.8854748356012616
1,0,238.0,200,3,4,0,-0.6705769512828283,0.2283393501805054,49.509595029650455,0.0,-79.0,-20.25,1,358.0,0.6648044507037864
1,0,731.0,200,3,4,0,1.744735086184875,0.8091155234657039,206.90819220127554,0.0,493.0,55.89999999999998,1,358.0,2.041899384304487
1,0,438.0,200,3,4,0,0.22646065327460396,0.6367328519855595,207.5415621026304,0.0,-293.0,65.30000000000001,1,358.0,1.2234636529758758
1,0,476.0,200,3,4,0,0.1911260360920497,0.6714801444043321,188.35737309699343,0.0,38.0,121.94999999999999,1,358.0,1.3296089014075727
1,0,447.0,429,3,4,0,-0.10815111193615924,0.64485559566787,175.68010701271783,0.0,-29.0,137.25,1,358.0,1.2486033170781197
1,0,224.0,200,3,4,0,-1.3268693334213277,0.17554151624548736,180.27395818586774,0.0,-223.0,138.34999999999997,1,358.0,0.6256983065447401
1,0,255.0,200,3,4,0,-0.9523917810472031,0.259927797833935,118.6486409530256,0.0,31.0,44.85000000000002,1,358.0,0.712290482896914
1,0,233.0,200,3,4,0,-0.7597587044705029,0.21525270758122744,123.72348200725675,0.0,-22.0,3.6999999999999886,1,358.0,0.6508379706469841
1,0,216.0,200,3,4,0,-0.606685746878123,0.14981949458483754,97.2496786627081,0.0,-17.0,-30.44999999999999,1,358.0,0.6033519384538565
1,0,260.0,200,3,4,0,1.165623081049612,0.2752707581227437,19.21717981390572,0.0,44.0,-69.65,1,358.0,0.7262569629537162
1,0,753.0,429,3,4,0,1.7835637260889834,0.8176895306859205,229.6525636695571,0.0,493.0,10.849999999999966,1,358.0,2.1033518965544165
1,0,231.0,200,3,4,0,-0.4633959267866621,0.2075812274368231,232.19883720639083,0.0,-522.0,7.150000000000034,1,358.0,0.6452513786242632
1,0,233.0,200,3,4,0,-0.4547826195973189,0.21525270758122744,232.19883720639083,0.0,2.0,7.5,1,358.0,0.6508379706469841
1,0,211.0,200,3,4,0,-0.543654133264529,0.13086642599277978,232.8686324948038,0.0,-22.0,6.850000000000023,1,358.0,0.5893854583970543
1,0,232.0,200,3,4,0,-0.424587284659197,0.21164259927797835,235.5228226733027,0.0,21.0,3.3500000000000227,1,358.0,0.6480446746356237
1,0,681.0,429,3,4,0,1.787054067288222,0.7951263537906137,203.35141996061887,0.0,449.0,-31.25,1,358.0,1.9022345837364643
1,0,331.0,200,3,4,0,-0.03341106076334578,0.4499097472924188,197.53936316592697,0.0,-350.0,-15.949999999999989,1,358.0,0.9245809797603078
1,0,207.0,200,3,4,0,-0.6229883797657343,0.11597472924187725,201.28785358287263,0.0,-124.0,-14.850000000000023,1,358.0,0.5782122743516125
1,0,211.0,200,3,4,0,-0.6031163421336535,0.13086642599277978,201.28785358287263,0.0,4.0,-13.850000000000023,1,358.0,0.5893854583970543
1,0,279.0,200,3,4,0,-0.31964688004569985,0.31904332129963897,196.46679108694164,0.0,68.0,-2.5500000000000114,1,358.0,0.7793295871695647
1,0,221.0,200,3,4,0,-0.5345076552261203,0.16471119133574008,53.881351133764,0.0,-58.0,-93.69999999999999,1,358.0,0.6173184185106587
1,0,547.0,200,3,4,0,1.75259949349879,0.7211191335740073,144.9275681159384,0.0,326.0,-41.30000000000001,1,358.0,1.5279329182141643
0,1,,0,4,4,0,,,157.87231127296081,1.0,0.0,-14.342105263157919,1,358.0,
1,0,211.0,200,4,4,0,-0.6555930714482165,0.13086642599277978,157.87231127296081,-1.0,0.0,-0.39473684210526017,1,358.0,0.5893854583970543
1,0,328.0,200,4,4,0,0.008008173276942495,0.43998194945848373,156.09051861019606,0.0,117.0,18.11842105263156,1,358.0,0.9162010917262265
1,0,1605.0,429,4,4,0,1.4637041339523296,0.9742779783393501,636.9114930663443,0.0,1277.0,291.4342105263158,1,358.0,4.483240098233517
1,0,276.0,200,4,4,0,-0.4922330156366864,0.3109205776173285,668.382624948714,0.0,-1329.0,222.57894736842104,1,358.0,0.7709496991354833
